# {"t_start": 1659482831.773812, "env_id": "Bpp-v0"} 
r,l,t
6.74,48,1727.347122
5.86,43,1730.496769
6.42,43,1733.369373
6.26,39,1736.319781
7.21,48,1739.639023
6.41,42,1741.206277
7.23,46,1744.321467
1.82,12,1746.489291
7.3,47,1749.752759
6.58,46,1751.704892
7.34,49,1755.355468
7.16,47,1758.798666
5.34,40,1761.77749
7.45,49,1765.374971
2.26,16,1765.973446
6.61,44,1769.032105
7.02,51,1772.372338
7.37,44,1775.470327
6.87,44,1778.616899
7.47,49,1782.080001
5.46,39,1785.157842
5.96,39,1788.000808
7.29,51,1791.562368
6.88,43,1794.557528
6.77,46,1796.355846
7.6,50,1799.700085
6.0,40,1802.709461
6.43,41,1805.88191
5.22,34,1808.476077
7.38,48,1811.883739
5.13,39,1814.756858
7.76,47,1816.563118
6.64,49,1819.914501
6.44,42,1822.91846
7.36,49,1826.252052
6.8,46,1829.594415
7.31,46,1832.853097
7.34,48,1835.783895
6.85,45,1838.585778
7.62,47,1841.610285
6.71,45,1844.320444
7.6,51,1847.177072
7.9,54,1850.214984
7.23,48,1853.005136
7.5,45,1855.895888
7.12,47,1858.786317
7.15,48,1861.625238
1.83,12,1862.115744
7.39,50,1865.050131
6.58,44,1867.65817
7.54,55,1870.868532
7.33,48,1873.839905
7.79,49,1876.769941
6.39,45,1879.455383
7.87,51,1882.397967
7.88,52,1885.316712
7.04,45,1888.05179
7.63,54,1891.299227
7.04,46,1894.012016
7.54,48,1897.009844
6.24,41,1898.385442
6.21,40,1900.978701
3.54,24,1903.072627
6.85,47,1906.15415
5.46,38,1907.489952
7.19,46,1910.320823
6.63,44,1913.181457
7.43,49,1916.096297
6.61,47,1918.892103
5.05,34,1921.410015
6.63,39,1923.938371
6.99,43,1925.318297
6.31,39,1927.91688
7.06,48,1931.072363
7.59,49,1934.009807
4.34,33,1936.28854
6.63,42,1939.138025
8.31,48,1941.858313
7.19,45,1944.596197
7.18,47,1947.591534
6.21,41,1948.98459
5.4,39,1951.652521
7.11,47,1954.329862
7.61,46,1957.117388
6.05,44,1959.903599
7.07,47,1962.81863
7.08,45,1965.665214
6.57,43,1968.594871
5.61,38,1969.98601
7.58,50,1973.043715
7.56,49,1975.937897
7.13,49,1979.23144
6.64,44,1982.00605
7.35,48,1984.888139
6.44,44,1987.507687
2.69,17,1988.172976
7.08,45,1990.994369
7.33,49,1993.9131
7.5,48,1996.649694
7.3,49,1999.597898
6.68,44,2002.482788
7.24,46,2005.259064
7.05,50,2008.218675
6.82,45,2011.070504
6.06,38,2013.637632
6.94,46,2016.513905
7.04,45,2018.111103
6.72,47,2021.023606
6.64,44,2023.818749
7.78,49,2026.786814
6.77,45,2029.635258
6.76,46,2032.440655
6.9,45,2035.266529
7.41,46,2038.062582
8.11,51,2041.033593
6.62,41,2043.769782
6.76,42,2046.386588
6.88,46,2047.90248
6.59,49,2050.86943
7.31,51,2053.749534
2.43,18,2055.672574
6.25,44,2058.319111
5.98,38,2059.509204
7.3,50,2062.482663
7.74,52,2066.882834
7.32,48,2068.394192
7.32,47,2071.249414
4.92,31,2073.401567
6.9,47,2076.403642
6.93,48,2079.269218
7.65,47,2082.067727
6.54,41,2084.659463
6.72,39,2085.99611
7.57,53,2090.58895
6.97,45,2092.112929
6.94,42,2094.617916
7.32,49,2097.827716
6.79,42,2100.530764
6.49,43,2103.193044
7.06,46,2105.983273
6.68,46,2108.759612
5.79,41,2111.479029
7.65,46,2114.187989
7.0,44,2115.705723
5.13,34,2117.975521
7.84,49,2120.950035
5.62,37,2123.703898
6.33,40,2126.340734
7.36,47,2129.223155
5.94,42,2130.58912
5.2,34,2133.037572
6.05,39,2135.551043
6.52,46,2138.239402
6.38,43,2140.971195
7.39,54,2144.221225
7.68,51,2147.165886
6.75,42,2149.968781
6.78,45,2151.544019
6.66,41,2154.729715
0.95,7,2155.053098
6.74,46,2157.912282
6.91,42,2160.569405
7.46,49,2163.568595
6.69,46,2166.281337
5.9,38,2168.887879
1.72,12,2169.248356
7.96,53,2172.389758
7.1,46,2175.251798
7.1,48,2178.118376
7.47,47,2180.824297
7.78,52,2183.943827
5.79,37,2186.389473
6.34,42,2188.926857
7.12,48,2191.938038
6.81,46,2193.419716
7.2,49,2196.265313
6.12,43,2198.967594
6.72,46,2201.564189
6.41,42,2204.018112
7.96,50,2207.013887
7.73,49,2209.757594
8.03,51,2212.449721
5.49,34,2214.748263
7.17,48,2217.457433
0.57,4,2217.486167
7.66,49,2220.206153
7.75,49,2223.003665
7.4,53,2225.948783
7.85,50,2228.664257
7.24,47,2231.264942
6.96,45,2234.111976
4.79,32,2235.03199
7.58,48,2237.848378
7.09,52,2240.714745
7.57,49,2243.481713
7.47,50,2246.221119
6.65,42,2248.656882
6.54,43,2250.980643
6.74,45,2253.506083
6.93,44,2256.059771
7.01,41,2258.359119
6.43,42,2259.725407
8.11,52,2262.368735
7.33,51,2265.116965
6.74,40,2267.485838
7.1,46,2270.159619
7.41,48,2272.797178
7.73,53,2275.672647
4.58,30,2277.706107
7.08,47,2280.215417
6.65,42,2283.033872
7.19,49,2285.814001
6.09,41,2287.092855
7.26,48,2289.751693
6.36,41,2292.095755
6.73,44,2294.621951
6.92,42,2297.017335
7.1,44,2299.614143
7.25,52,2302.761787
6.88,46,2305.415701
7.08,48,2307.979044
6.82,49,2310.706103
